Rank,Title,Type,Episodes,Start_Year,Score,Members
140,Kimi no Suizou wo Tabetai,Movie,1.0,2018,8.55,1142733
141,Yojouhan Shinwa Taikei,TV,11.0,2010,8.55,502790
142,Doupo Cangqiong: San Nian Zhi Yue,ONA,13.0,2021,8.54,11827
143,Mushoku Tensei III: Isekai Ittara Honki Dasu,TV,14.0,2026,8.54,320320
144,Shingeki no Kyojin Season 2,TV,12.0,2017,8.54,3064321
145,Shouwa Genroku Rakugo Shinjuu,TV,13.0,2016,8.54,318018
146,Fate/Zero 2nd Season,TV,12.0,2012,8.53,1207409
147,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1.0,2020,8.53,1808938
148,Mushishi: Hihamukage,TV,1.0,2014,8.53,155229
149,Nippon Sangoku,TV,12.0,2026,8.53,123546
150,Zoku Natsume Yuujinchou,TV,13.0,2009,8.53,268938
151,Fruits Basket 2nd Season,TV,25.0,2020,8.52,594317
152,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1.0,2010,8.52,179342
153,Samurai Champloo,TV,26.0,2004,8.52,1368090
154,Shoujo☆Kageki Revue Starlight Movie,Movie,1.0,2021,8.52,26880
155,[Oshi no Ko],TV,11.0,2023,8.52,1079633
156,Bakuman. 3rd Season,TV,25.0,2012,8.51,350301
157,Gintama. Porori-hen,TV,13.0,2017,8.51,225302
158,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39.0,2016,8.51,1295829
159,Kaguya-sama wa Kokurasetai: Otona e no Kaidan,TV,1.0,2025,8.51,120226
160,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,26.0,2004,8.51,244817
161,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1.0,2013,8.51,429386
162,Dr. Stone: Science Future Part 2,TV,12.0,2025,8.5,253691
163,Fanren Xiu Xian Zhuan 4th Season,ONA,52.0,2025,8.5,3522
164,Given Movie 3: Umi e,Movie,1.0,2024,8.5,34757
165,Grand Blue Season 2,TV,12.0,2025,8.5,217491
166,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,14.0,2022,8.5,325860
167,Kara no Kyoukai Movie 5: Mujun Rasen,Movie,1.0,2008,8.5,256011
168,Ore dake Level Up na Ken Season 2: Arise from the Shadow,TV,13.0,2025,8.5,825723
169,Sora yori mo Tooi Basho,TV,13.0,2018,8.5,560523
170,[Oshi no Ko] 2nd Season,TV,13.0,2024,8.5,540922
171,Jujutsu Kaisen,TV,24.0,2020,8.49,3107857
172,Mob Psycho 100,TV,12.0,2016,8.49,2357488
173,Seihantai na Kimi to Boku 2nd Season,TV,13.0,2026,8.49,110849
174,Yuru Camp△ Season 2,TV,13.0,2021,8.49,257264
175,Aria the Origination,TV,13.0,2008,8.48,143898
176,Ousama Ranking,TV,23.0,2021,8.48,771204
