Rank,Title,Type,Episodes,Start_Year,Score,Members
771,Saiunkoku Monogatari 2nd Season,TV,39.0,2007,7.99,45657
772,Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Movie,1.0,2018,7.99,86769
773,SK∞,TV,12.0,2021,7.99,641642
774,Tsumiki no Ie,Movie,1.0,2008,7.99,102145
775,Vampire Hunter D (2000),Movie,1.0,2000,7.99,254166
776,Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,Special,1.0,2017,7.99,93161
777,Boku no Hero Academia 3rd Season,TV,25.0,2018,7.98,2411997
778,Dragon Ball,TV,153.0,1986,7.98,1153970
779,ef: A Tale of Melodies.,TV,12.0,2008,7.98,171553
780,Fanren Xiu Xian Zhuan: Mulan Zhi Zhan,ONA,52.0,2026,7.98,1720
781,Girls Band Cry Movie,Movie,2.0,2025,7.98,9746
782,Hachimitsu to Clover,TV,24.0,2005,7.98,287686
783,Kaichou wa Maid-sama!,TV,26.0,2010,7.98,1353839
784,Kara no Kyoukai Movie: Mirai Fukuin,Movie,1.0,2013,7.98,127429
785,Mignon,ONA,12.0,2023,7.98,39847
786,Ruri no Houseki,TV,13.0,2025,7.98,95989
787,Takarajima,TV,26.0,1978,7.98,25465
788,Uma Musume: Pretty Derby - Road to the Top (Movie),Movie,1.0,2024,7.98,23319
789,Wolf's Rain OVA,OVA,4.0,2004,7.98,77918
790,Zombieland Saga Revenge,TV,12.0,2021,7.98,241115
791,Aishang Ta de Liyou Extra,ONA,1.0,2024,7.97,11043
792,Akagami no Shirayuki-hime 2nd Season,TV,12.0,2016,7.97,394010
793,Bishoujo Senshi Sailor Moon: Sailor Stars,TV,34.0,1996,7.97,123679
794,Black Clover: Mahou Tei no Ken,Movie,1.0,2023,7.97,277212
795,Bungou Stray Dogs Wan!,TV,12.0,2021,7.97,137546
796,Code Geass: Hangyaku no Lelouch III - Oudou,Movie,1.0,2018,7.97,105982
797,Densetsu Kyojin Ideon: Hatsudou-hen,Movie,1.0,1982,7.97,13507
798,Durarara!!x2 Shou,TV,12.0,2015,7.97,517418
799,Eve no Jikan,ONA,6.0,2008,7.97,197516
800,Gake no Ue no Ponyo,Movie,1.0,2008,7.97,665289
801,Girls & Panzer: Saishuushou Part 1,Movie,1.0,2017,7.97,60045
802,Jian Lai 2nd Season,ONA,27.0,2025,7.97,1504
803,Kami nomi zo Shiru Sekai: Megami-hen,TV,12.0,2013,7.97,369710
804,Kidou Senshi Gundam Thunderbolt: December Sky,Movie,1.0,2016,7.97,29365
805,Kimi ni Todoke 2nd Season,TV,12.0,2011,7.97,565933
806,Kindaichi Shounen no Jikenbo,TV,148.0,1997,7.97,37028
807,Kizumonogatari: Koyomi Vamp,Movie,1.0,2024,7.97,23472
808,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,OVA,1.0,2006,7.97,33198
809,Kurenai no Buta,Movie,1.0,1992,7.97,293075
810,School Rumble Ni Gakki,TV,26.0,2006,7.97,173424
811,Shokugeki no Souma: San no Sara,TV,12.0,2017,7.97,1050533
812,xxxHOLiC,TV,24.0,2006,7.97,352953
813,Yi Nian Yong Heng,ONA,52.0,2020,7.97,24239
814,Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,Movie,1.0,2001,7.96,13794
815,Durarara!!x2 Ten,TV,12.0,2015,7.96,424153
816,Hidamari Sketch x Honeycomb,TV,12.0,2012,7.96,28033
817,Hokuto no Ken,TV,109.0,1984,7.96,145093
818,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV,14.0,2019,7.96,384048
819,IDOLiSH7 Vibrato,ONA,8.0,2018,7.96,18162
820,Kakushigoto,TV,12.0,2020,7.96,357191
821,Kidou Senshi Gundam Thunderbolt,ONA,4.0,2015,7.96,65751
822,"Komi-san wa, Comyushou desu. 2nd Season",TV,12.0,2022,7.96,567921
823,Koukaku Kidoutai 2.0,Movie,1.0,2008,7.96,95045
824,Mahou Shoujo Lyrical Nanoha A's,TV,13.0,2005,7.96,70285
825,Ookiku Furikabutte: Natsu no Taikai-hen,TV,13.0,2010,7.96,47948
826,Ranma ½ (2024),TV,12.0,2024,7.96,178927
827,ReLIFE,TV,13.0,2016,7.96,1155810
828,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,OVA,2.0,2001,7.96,90292
829,Shen Yin Wangzuo Movie: Yi Lai Ke Si Chuanqi,Movie,1.0,2025,7.96,1661
830,Wan Sheng Jie,ONA,12.0,2020,7.96,33747
831,Youjo Senki,TV,12.0,2017,7.96,1072885
832,Aikatsu! 10th Story: Mirai e no Starway (2023),Movie,1.0,2023,7.95,3180
833,Aria the Origination: Sono Choppiri Himitsu no Basho ni...,Special,1.0,2008,7.95,23980
834,BanG Dream! Film Live 2nd Stage,Movie,1.0,2021,7.95,10099
835,Eve no Jikan (Movie),Movie,1.0,2010,7.95,131781
836,Fanren Xiu Xian Zhuan: Xinghai Feichi Prologue,ONA,4.0,2023,7.95,15096
837,Full Moon wo Sagashite,TV,52.0,2002,7.95,119005
838,Ginga Sengoku Gunyuuden Rai,TV,52.0,1994,7.95,18239
839,High Score Girl: Extra Stage,OVA,3.0,2019,7.95,83078
840,Jibaku Shounen Hanako-kun 2,TV,12.0,2025,7.95,107573
841,Les Misérables: Shoujo Cosette,TV,52.0,2007,7.95,35000
842,Macross F Movie 2: Sayonara no Tsubasa,Movie,1.0,2011,7.95,30137
843,Macross: Do You Remember Love?,Movie,1.0,1984,7.95,54882
844,Major Movie: Yuujou no Winning Shot,Movie,1.0,2008,7.95,22464
845,Maoujou de Oyasumi,TV,12.0,2020,7.95,254708
846,Sayonara Lara,TV,12.0,2026,7.95,53437
847,Tennis no Oujisama: Zenkoku Taikai-hen - Final,OVA,7.0,2008,7.95,39419
848,5-toubun no Hanayome∽,TV,2.0,2023,7.94,103909
849,Akane-banashi,TV,12.0,2026,7.94,76488
850,Douluo Dalu,ONA,26.0,2018,7.94,34991
851,Fate/Grand Order: Zettai Majuu Sensen Babylonia,TV,21.0,2019,7.94,317685
852,High Score Girl II,TV,9.0,2019,7.94,153143
853,Kanon (2006),TV,24.0,2006,7.94,294755
854,Kobato.,TV,24.0,2009,7.94,178874
855,Kono Oto Tomare!,TV,13.0,2019,7.94,357218
856,Non Non Biyori,TV,12.0,2013,7.94,459359
857,Noragami,TV,12.0,2014,7.94,2338103
858,Rising Impact Season 2,ONA,14.0,2024,7.94,16172
859,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,Movie,1.0,2021,7.94,291249
860,Tekkon Kinkreet,Movie,1.0,2006,7.94,125926
861,Working!!!,TV,13.0,2015,7.94,265809
862,Wotaku ni Koi wa Muzukashii OVA,OVA,3.0,2019,7.94,237859
863,Yofukashi no Uta,TV,13.0,2022,7.94,801154
864,You Shou Yan 3rd Season,ONA,12.0,2024,7.94,1214
865,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",Special,1.0,2008,7.93,322527
866,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,Movie,1.0,2017,7.93,106584
867,Hug tto! Precure,TV,49.0,2018,7.93,32083
868,Ie Naki Ko,TV,51.0,1977,7.93,19973
869,Nagi no Asu kara,TV,26.0,2013,7.93,642465
870,Sakasama no Patema,Movie,1.0,2013,7.93,325527
871,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV,26.0,2005,7.93,115531
872,xxxHOLiC Movie: Manatsu no Yoru no Yume,Movie,1.0,2005,7.93,71858
873,Zhu Xian 2nd Season,ONA,26.0,2024,7.93,3642
874,Zhu Xian 3rd Season,ONA,26.0,2025,7.93,1731
875,Benghuai: Xing Qiong Tiedao - Gelamo de Yujin,ONA,1.0,2024,7.92,3629
876,Berserk: Ougon Jidai-hen - Memorial Edition,TV,13.0,2022,7.92,55996
877,Bishoujo Senshi Sailor Moon S,TV,38.0,1994,7.92,160339
878,Boku no Hero Academia the Movie 2: Heroes:Rising,Movie,1.0,2019,7.92,641153
879,Dead Dead Demons Dededede Destruction (ONA),ONA,17.0,2024,7.92,71817
880,Ginga Tokkyuu Milky☆Subway,TV,12.0,2025,7.92,22542
881,Gochuumon wa Usagi desu ka? Bloom,TV,12.0,2020,7.92,73569
882,Heartcatch Precure!,TV,49.0,2010,7.92,37762
883,Hidamari Sketch x ☆☆☆,TV,12.0,2010,7.92,31366
884,Hikaru no Go: Hokuto Hai e no Michi,Special,1.0,2004,7.92,26276
885,Ie Naki Ko Remy,TV,23.0,1996,7.92,24184
886,Initial D Third Stage,Movie,1.0,2001,7.92,211045
887,Kidou Senshi Zeta Gundam,TV,50.0,1985,7.92,89774
888,Love Live! The School Idol Movie,Movie,1.0,2015,7.92,139734
889,Mahoutsukai no Yome Season 2 Part 2,TV,12.0,2023,7.92,128481
890,Mawaru Penguindrum,TV,24.0,2011,7.92,322723
891,My Melody & Kuromi,ONA,12.0,2025,7.92,7777
892,Nurarihyon no Mago: Sennen Makyou,TV,24.0,2011,7.92,173866
893,Osomatsu-san,TV,25.0,2015,7.92,182494
894,Plastic Memories,TV,13.0,2015,7.92,1043826
895,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,TV,12.0,2018,7.92,781519
896,Summer Ghost,Movie,1.0,2021,7.92,157013
897,Wu Dong Qian Kun 6th Season,ONA,12.0,2025,7.92,1689
898,Yowamushi Pedal,TV,38.0,2013,7.92,249399
899,BanG Dream! Movie: Poppin' Dream!,Movie,1.0,2022,7.91,13875
900,Bungou Stray Dogs: Dead Apple,Movie,1.0,2018,7.91,319244
901,City Hunter,TV,51.0,1987,7.91,92971
902,Code Geass: Fukkatsu no Lelouch,Movie,1.0,2019,7.91,349329
903,Eyeshield 21,TV,145.0,2005,7.91,197429
904,Full Metal Panic! The Second Raid,TV,13.0,2005,7.91,275374
905,Hanamonogatari,TV,5.0,2014,7.91,459067
906,Kaleido Star,TV,51.0,2003,7.91,93495
907,Kimi to Boku. 2,TV,13.0,2012,7.91,95089
908,Kuuchuu Buranko,TV,11.0,2009,7.91,103986
909,Love Live! Superstar!!,TV,12.0,2021,7.91,79760
910,Meitantei Conan Movie 27: 100-man Dollar no Michishirube,Movie,1.0,2024,7.91,14825
911,Nekomonogatari: Kuro,TV,4.0,2012,7.91,595167
912,Ojamajo Doremi Na-i-sho,OVA,13.0,2004,7.91,13409
913,One Piece Film: Strong World Episode 0,OVA,1.0,2010,7.91,93311
914,Phantom: Requiem for the Phantom,TV,26.0,2009,7.91,360244
915,Tamako Love Story,Movie,1.0,2014,7.91,434106
916,Usagi Drop Specials,Special,4.0,2011,7.91,75489
917,Wotaku ni Koi wa Muzukashii,TV,11.0,2018,7.91,1118546
918,Xingchen Bian 6th Season,ONA,28.0,2025,7.91,1741
919,Yakitate!! Japan,TV,69.0,2004,7.91,105962
920,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,TV,13.0,2024,7.91,558991
921,Yuru Yuri San☆Hai!,TV,12.0,2015,7.91,134526
922,Akage no Anne,TV,50.0,1979,7.9,53049
923,Atarashii Joushi wa Do Tennen,TV,12.0,2023,7.9,75085
924,Chiikawa Movie: Ningyo no Shima no Himitsu,Movie,1.0,2026,7.9,3471
925,Cike Wu Liuqi,ONA,10.0,2018,7.9,144171
926,Date A Live II: Kurumi Star Festival,OVA,1.0,2014,7.9,202895
927,Doraemon (1979),TV,1787.0,1979,7.9,73238
928,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,TV,15.0,2024,7.9,229296
929,Ergo Proxy,TV,23.0,2006,7.9,727674
930,Gakuen Babysitters,TV,12.0,2018,7.9,384884
931,Hanma Baki: Son of Ogre 2nd Season,ONA,27.0,2023,7.9,122289
932,I Byeol-e Pil-yohan,ONA,1.0,2025,7.9,21157
933,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,Movie,2.0,2023,7.9,4607
934,Karigurashi no Arrietty,Movie,1.0,2010,7.9,400074
935,Kobayashi-san Chi no Maid Dragon,TV,13.0,2017,7.9,1343644
936,Kokoro Connect: Michi Random,Special,4.0,2012,7.9,276152
937,Love Live! Superstar!! 3rd Season,TV,12.0,2024,7.9,22939
938,Lupin III (2015),TV,24.0,2015,7.9,78753
939,Niehime to Kemono no Ou,TV,24.0,2023,7.9,104437
940,Oniisama e...,TV,39.0,1991,7.9,57997
941,Overlord III,TV,13.0,2018,7.9,1025309
942,Sakamoto Days Part 2,TV,11.0,2025,7.9,273730
943,Shingeki no Kyojin OVA,OVA,3.0,2013,7.9,513147
944,Trigun: Badlands Rumble,Movie,1.0,2010,7.9,155729
945,Vanitas no Karte,TV,12.0,2021,7.9,642984
946,You Shou Yan 4th Season,ONA,12.0,2024,7.9,1175
947,Yuri!!! on Ice,TV,12.0,2016,7.9,963458
948,Ze Tian Ji (2026),ONA,26.0,2026,7.9,1907
949,Darker than Black: Kuro no Keiyakusha Gaiden,Special,4.0,2010,7.89,271566
950,Doupo Cangqiong 3rd Season,ONA,12.0,2019,7.89,11846
951,Final Fantasy VII: Advent Children Complete,OVA,1.0,2009,7.89,139104
952,Golden Kamuy,TV,12.0,2018,7.89,468314
953,Hanasaku Iroha,TV,26.0,2011,7.89,349553
954,Hoozuki no Reitetsu 2nd Season,TV,13.0,2017,7.89,51747
955,Log Horizon,TV,25.0,2013,7.89,1192906
956,Macross,TV,36.0,1982,7.89,126286
957,Meitantei Conan OVA 09: 10-nengo no Stranger,OVA,1.0,2009,7.89,22809
958,One Piece: Gyojin Tou-hen,TV,21.0,2024,7.89,41450
959,Ore Monogatari!!,TV,24.0,2015,7.89,743945
960,Overlord,TV,13.0,2015,7.89,1779498
961,Paradise Kiss,TV,12.0,2005,7.89,265942
962,Rock wa Lady no Tashinami deshite,TV,13.0,2025,7.89,87181
963,Romantic Killer,ONA,12.0,2022,7.89,304350
964,Shingeki no Kyojin Movie 1: Guren no Yumiya,Movie,1.0,2014,7.89,148833
965,Shirokuma Cafe,TV,50.0,2012,7.89,103445
966,Space☆Dandy,TV,13.0,2014,7.89,395700
967,Tamayura: Sotsugyou Shashin Part 3 - Akogare,Movie,1.0,2015,7.89,12124
968,Tate no Yuusha no Nariagari,TV,25.0,2019,7.89,1789745
969,Wu Dong Qian Kun 5th Season,ONA,12.0,2025,7.89,2632
970,Zoku Sayonara Zetsubou Sensei,TV,13.0,2008,7.89,141329
971,Aria the Avvenire,Special,3.0,2015,7.88,31955
972,Code Geass: Hangyaku no Lelouch I - Koudou,Movie,1.0,2017,7.88,115723
973,Drifters,TV,12.0,2016,7.88,625021
974,Free! Eternal Summer: Kindan no All Hard!,Special,1.0,2015,7.88,99270
975,Go! Princess Precure,TV,50.0,2015,7.88,35242
976,InuYasha,TV,167.0,2000,7.88,870301
977,Jian Lai,ONA,26.0,2024,7.88,3106
978,Jormungand: Perfect Order,TV,12.0,2012,7.88,211117
979,Kidou Senshi Gundam: Suisei no Majo Season 2,TV,12.0,2023,7.88,111893
980,Koukaku Kidoutai (TV),TV,10.0,2026,7.88,93524
981,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,Movie,1.0,2017,7.88,46709
982,Macross F,TV,25.0,2008,7.88,157112
983,Meitantei Conan Movie 02: 14-banme no Target,Movie,1.0,1998,7.88,71009
984,New Initial D Movie: Legend 3 - Mugen,Movie,1.0,2016,7.88,32823
985,Osomatsu-san Movie,Movie,1.0,2019,7.88,17336
986,Promare,Movie,1.0,2019,7.88,307038
987,Quanzhi Gaoshou 2,ONA,12.0,2020,7.88,131186
988,Sakigake!! Cromartie Koukou,TV,26.0,2003,7.88,157018
989,School Rumble,TV,26.0,2004,7.88,347453
990,Shijou Saikyou no Deshi Kenichi OVA,OVA,11.0,2012,7.88,62897
991,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,OVA,1.0,2013,7.88,23828
992,Tennis no Oujisama: Zenkoku Taikai-hen,OVA,13.0,2006,7.88,49926
993,Urusei Yatsura 2: Beautiful Dreamer,Movie,1.0,1984,7.88,25045
994,Ushio to Tora (TV) 2nd Season,TV,13.0,2016,7.88,141693
995,Yagate Kimi ni Naru,TV,13.0,2018,7.88,390042
996,Yuusha-Ou GaoGaiGar,TV,49.0,1997,7.88,25676
997,Zetsuen no Tempest,TV,24.0,2012,7.88,629632
998,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Movie,1.0,2012,7.87,235623
999,Carnival Phantasm,OVA,12.0,2011,7.87,212931
1000,Death Billiards,Movie,1.0,2013,7.87,254246
1001,Free! Movie 5: The Final Stroke - Kouhen,Movie,1.0,2022,7.87,48931
1002,Hibike! Euphonium Movie 2: Todoketai Melody,Movie,1.0,2017,7.87,37262
1003,Higurashi no Naku Koro ni,TV,26.0,2006,7.87,866543
1004,Hoozuki no Reitetsu 2nd Season: Sono Ni,TV,13.0,2018,7.87,32419
1005,Jigoku Shoujo Futakomori,TV,26.0,2006,7.87,172839
1006,JoJo no Kimyou na Bouken (TV),TV,26.0,2012,7.87,1893132
1007,K-On!,TV,13.0,2009,7.87,1143164
1008,Kidou Senshi Gundam: Suisei no Majo - Prologue,Special,1.0,2022,7.87,56942
1009,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 2nd Season,TV,12.0,2025,7.87,191786
1010,Liang Bu Yi 2nd Season,ONA,24.0,2022,7.87,7358
1011,Magic Kaito 1412,TV,24.0,2014,7.87,136857
1012,Mahou Shoujo Lyrical Nanoha: The Movie 1st,Movie,1.0,2010,7.87,34634
1013,Megalo Box,TV,13.0,2018,7.87,551594
1014,Meitantei Conan Movie 01: Tokei Jikake no Matenrou,Movie,1.0,1997,7.87,80096
1015,Meitantei Conan Movie 23: Konjou no Fist,Movie,1.0,2019,7.87,34996
1016,New Panty & Stocking with Garterbelt,TV,13.0,2025,7.87,91762
1017,Ookiku Furikabutte,TV,25.0,2007,7.87,107184
1018,Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,OVA,6.0,2007,7.87,40813
1019,Terra e... (TV),TV,24.0,2007,7.87,67333
1020,Yuanshen: Weixing Zhi Lu,ONA,1.0,2024,7.87,4571
1021,Yuzuki-san Chi no Yonkyoudai.,TV,12.0,2023,7.87,76048
1022,Anne Shirley,TV,24.0,2025,7.86,56761
1023,Boku no Hero Academia 4th Season,TV,25.0,2019,7.86,1935995
1024,Capeta,TV,52.0,2005,7.86,42546
1025,ef: A Tale of Memories.,TV,12.0,2007,7.86,271644
1026,K-On!!: Keikaku!,Special,1.0,2011,7.86,137467
1027,Kami nomi zo Shiru Sekai II,TV,12.0,2011,7.86,411947
1028,Kingdom,TV,38.0,2012,7.86,267179
1029,Kuroshitsuji: Kishuku Gakkou-hen,TV,11.0,2024,7.86,114547
1030,Machikado Mazoku: 2-choume,TV,12.0,2022,7.86,78301
1031,Meitantei Conan Movie 22: Zero no Shikkounin,Movie,1.0,2018,7.86,36388
1032,Musekinin Kanchou Tylor,TV,26.0,1993,7.86,55738
1033,Non Non Biyori Repeat: Hotaru ga Tanoshinda,OVA,1.0,2016,7.86,54333
1034,One Piece Film: Gold,Movie,1.0,2016,7.86,255339
1035,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,OVA,1.0,2009,7.86,183436
1036,Saiunkoku Monogatari,TV,39.0,2006,7.86,106099
1037,Sonny Boy,TV,12.0,2021,7.86,393406
1038,Soul Eater,TV,51.0,2008,7.86,1794970
1039,Tsue to Tsurugi no Wistoria,TV,12.0,2024,7.86,421834
1040,Yume-iro Pâtissière,TV,50.0,2009,7.86,92494
1041,Zan Sayonara Zetsubou Sensei,TV,13.0,2009,7.86,114668
1042,Akachan to Boku,TV,35.0,1996,7.85,38052
1043,Bishoujo Senshi Sailor Moon Cosmos Movie,Movie,2.0,2023,7.85,29188
1044,Cool Doji Danshi,TV,24.0,2022,7.85,116151
1045,Hidamari Sketch x 365,TV,13.0,2008,7.85,47374
1046,High☆Speed! Movie: Free! Starting Days,Movie,1.0,2015,7.85,100719
1047,K-On!: Live House!,Special,1.0,2010,7.85,174714
1048,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,OVA,1.0,2005,7.85,15664
1049,Kotonoha no Niwa,Movie,1.0,2013,7.85,942330
1050,Lupin III vs. Meitantei Conan: The Movie,Movie,1.0,2013,7.85,37239
1051,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,TV,12.0,2023,7.85,470804
1052,Quanzhi Gaoshou,ONA,12.0,2017,7.85,397034
1053,Shingeki no Kyojin: Chronicle,Movie,1.0,2020,7.85,100911
1054,Tennis no Oujisama,TV,178.0,2001,7.85,199236
1055,Top wo Nerae! Gunbuster,OVA,6.0,1988,7.85,147022
1056,Urusei Yatsura (2022) 2nd Season,TV,23.0,2022,7.85,59365
1057,Wanmei Shijie,ONA,338.0,2021,7.85,14769
1058,Wu Dong Qian Kun 3rd Season,ONA,12.0,2022,7.85,5718
1059,Wu Shan Wu Xing (2020),ONA,3.0,2020,7.85,74548
1060,Yuru Yuri Nachuyachumi!,OVA,1.0,2015,7.85,79675
1061,Beelzebub,TV,60.0,2011,7.84,636630
1062,Carole & Tuesday,TV,24.0,2019,7.84,354997
1063,Dark Gathering,TV,25.0,2023,7.84,193165
1064,Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,Special,1.0,1993,7.84,136751
1065,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,OVA,7.0,1992,7.84,31558
1066,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,1.0,1988,7.84,46395
1067,Haikyuu!! Riku vs. Kuu,OVA,2.0,2020,7.84,353290
1068,Hanasaku Iroha Movie: Home Sweet Home,Movie,1.0,2013,7.84,98934
1069,Kidou Senshi Gundam: Suisei no Majo,TV,12.0,2022,7.84,190736
1070,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Movie,1.0,2016,7.84,62611
1071,Madogiwa no Totto-chan,Movie,1.0,2023,7.84,5933
1072,Mairimashita! Iruma-kun 3rd Season,TV,21.0,2022,7.84,257878
1073,Natsume Yuujinchou Shichi: Nobashita Te wa,Special,1.0,2025,7.84,12953
1074,Noragami Aragoto OVA,OVA,2.0,2015,7.84,274264
1075,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,TV,1.0,2017,7.84,48618
1076,Owarimonogatari 2nd Season Recaps,TV,2.0,2017,7.84,28849
1077,Sayonara Zetsubou Sensei,TV,12.0,2007,7.84,369721
1078,Seitokai Yakuindomo* OVA,OVA,10.0,2014,7.84,86543
1079,Sekaiichi Hatsukoi OVA,OVA,2.0,2011,7.84,74941
1080,Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,Movie,1.0,2019,7.84,5232
1081,Tonikaku Kawaii,TV,12.0,2020,7.84,854518
1082,Tsuki ga Michibiku Isekai Douchuu 2nd Season,TV,25.0,2024,7.84,346059
1083,Turn A Gundam,TV,50.0,1999,7.84,56756
1084,Undead Girl Murder Farce,TV,13.0,2023,7.84,189099
1085,Wu Dong Qian Kun 4th Season,ONA,12.0,2023,7.84,3243
1086,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,Movie,1.0,2017,7.84,15884
1087,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,Movie,1.0,2013,7.83,316661
1088,Arknights: Rise from Ember,TV,10.0,2025,7.83,38956
1089,Durarara!! Specials,Special,2.0,2010,7.83,174868
1090,Hoozuki no Reitetsu OVA,OVA,4.0,2015,7.83,19454
1091,Magi: Sinbad no Bouken (TV),TV,13.0,2016,7.83,523000
1092,Michiko to Hatchin,TV,22.0,2008,7.83,226068
1093,New Initial D Movie: Legend 2 - Tousou,Movie,1.0,2015,7.83,48762
1094,One Piece 3D2Y: Ace no Shi wo Koete! Luffy Nakama to no Chikai,TV,1.0,2014,7.83,103941
1095,Oomuro-ke: Dear Sisters,Movie,1.0,2024,7.83,19641
1096,Pokemon XY&Z,TV,47.0,2015,7.83,168802
1097,Seihou Bukyou Outlaw Star,TV,24.0,1998,7.83,173035
1098,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,Movie,1.0,2014,7.83,72887
1099,Shingeki no Kyojin: Lost Girls,OVA,3.0,2017,7.83,342265
1100,SK∞ OVA: Extra Part,OVA,1.0,2025,7.83,51788
1101,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,Movie,1.0,2015,7.83,12512
1102,Tiger & Bunny,TV,25.0,2011,7.83,239781
1103,Tteotda Keunyeo!!,ONA,5.0,2003,7.83,25704
1104,Uma Musume: Pretty Derby - Road to the Top,ONA,4.0,2023,7.83,49477
1105,Wan Sheng Jie 4,ONA,12.0,2023,7.83,19377
1106,Yomi no Tsugai,TV,24.0,2026,7.83,239966
1107,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 4th Season: 2-nensei-hen 1 Gakki,TV,16.0,2026,7.83,259205
1108,5-toubun no Hanayome Movie,Movie,1.0,2022,7.82,335281
1109,91 Days,TV,12.0,2016,7.82,803216
1110,Aishang Ta de Liyou,ONA,22.0,2023,7.82,57486
1111,Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,Movie,1.0,2015,7.82,45451
1112,Boku no Hero Academia,TV,13.0,2016,7.82,3349252
1113,Break Blade Movie 4: Sanka no Chi,Movie,1.0,2010,7.82,71558
1114,City Hunter 3,TV,13.0,1989,7.82,37379
1115,Crayon Shin-chan,TV,,1992,7.82,95472
1116,Danshi Koukousei no Nichijou Specials,Special,6.0,2012,7.82,159823
1117,Digimon Adventure: Bokura no War Game!,Movie,1.0,2000,7.82,99124
1118,Enen no Shouboutai: Ni no Shou,TV,24.0,2020,7.82,936678
1119,Flanders no Inu (Movie),Movie,1.0,1997,7.82,36519
1120,Giji Harem,TV,12.0,2024,7.82,241375
1121,Gnosia,TV,21.0,2025,7.82,59807
1122,Gungrave,TV,26.0,2003,7.82,221567
1123,Heike Monogatari,TV,11.0,2022,7.82,95606
1124,Hidamari Sketch x ☆☆☆ Specials,TV,2.0,2010,7.82,28713
1125,Igano Kabamaru,TV,24.0,1983,7.82,12917
1126,Jibaku Shounen Hanako-kun,TV,12.0,2020,7.82,698595
1127,Jungle wa Itsumo Hare nochi Guu,TV,26.0,2001,7.82,52279
1128,Kidou Senshi Gundam: Senkou no Hathaway,Movie,1.0,2021,7.82,65658
1129,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,TV,373.0,1996,7.82,22215
1130,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,OVA,1.0,2016,7.82,450079
1131,Ling Long: Incarnation Part 2,ONA,6.0,2020,7.82,3927
1132,One Piece Film: Red,Movie,1.0,2022,7.82,233762
1133,Planetarian: Hoshi no Hito,Movie,1.0,2016,7.82,54747
1134,Seitokai Yakuindomo Movie,Movie,1.0,2017,7.82,66946
1135,Suzumiya Haruhi no Yuuutsu,TV,14.0,2006,7.82,991526
1136,Tentai Senshi Sunred 2nd Season,TV,26.0,2009,7.82,8856
1137,Uchouten Kazoku,TV,13.0,2013,7.82,191301
1138,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,TV,12.0,2017,7.82,1497888
1139,BanG Dream! It's MyGO!!!!! Movie,Movie,2.0,2024,7.81,3485
1140,Gekkan Shoujo Nozaki-kun,TV,12.0,2014,7.81,1005369
1141,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,TV,12.0,2018,7.81,107780
1142,Grisaia no Meikyuu: Caprice no Mayu 0,TV,1.0,2015,7.81,260513
